Subclass/&BardSubclassCollegeTitle	大学
Subclass/&BardSubclassCollegeDescription	选择一所巴德学院
Class/&BardClassTitle	诗人
Class/&BardClassDescription	对于那些有足够技巧去发现它们的人来说，不为人知的奇迹和秘密是存在的。通过聪明、才能和魔法，这些狡猾的少数人解开了世界的诡计，变得擅长说服、操纵和灵感的艺术。通常是一种或多种艺术形式的大师，吟游诗人拥有一种不可思议的能力，可以知道比他们应该知道的更多，并利用他们学到的知识让自己和他们的盟友在危险中领先一步。吟游诗人机智而迷人，他们的技能可能会让他们走上许多道路，无论是赌徒还是多面手，学者还是表演者，领导者还是恶棍，甚至以上所有。对于吟游诗人来说，每一天都会带来自己的机遇、冒险和挑战，只有克服困难，了解最多，做到最好，他们才能拥有各自的宝藏。
Feature/&BardWeaponProficiencyTitle	吟游诗人武器熟练
Feature/&BardArmorProficiencyTitle	吟游诗人盔甲擅长
Feature/&BardToolsProficiencyTitle	吟游诗人工具熟练度
Feature/&BardClassSkillPointPoolTitle	吟游诗人技能
Feature/&BardClassSkillPointPoolDescription	选择任意3个技能
Feature/&BardClassSpellcastingTitle	吟游诗人施法
Feature/&BardClassSpellcastingDescription	可以施放吟游诗人法术列表中的法术
Feature/&BardClassInspirationPowerTitle	吟游诗人的灵感
Feature/&BardClassInspirationPowerDescription	你可以通过激动人心的文字或音乐来激励他人。为此，你在轮到你的回合使用一个奖励动作来选择一个在你 60 英尺内能听到你说话的生物。该生物获得一个吟游灵感骰子，一个 d6。\n在接下来的 10 分钟内，该生物可以掷出一次骰子，并将掷出的数字加到它进行的一项能力检定、攻击检定或豁免检定中。一旦吟唱灵感骰子被掷出，它就会丢失。一个生物一次只能有一个吟游诗人死亡。\n您可以使用此功能的次数等于您的魅力修正次数（至少一次）。当你完成一次长休后，你会重新获得任何消耗的使用次数。\n当您在本课程中达到特定级别时，您的吟游灵感骰会发生变化。骰子在第 5 级变为 d8，在第 10 级变为 d10，在第 15 级变为 d12。
Feature/&BardClassFontOfInspirationFeatureTitle	灵感字体
Feature/&BardClassFontOfInspirationFeatureDescription	从你达到 5 级开始，当你完成一次短休或长休时，你会重新获得所有消耗的吟游灵感。
Feature/&BardClassRitualCastingDescription	如果法术带有仪式标签，您可以将已知法术作为仪式施展。
Feature/&BardClassExpertisePointPoolTitle	专业知识
Feature/&BardClassExpertisePointPoolDescription	在第 3 级，选择你的两项技能熟练程度。对于您使用任一所选熟练技能进行的任何能力检定，您的熟练加值都会翻倍。\n在 10 级时，您可以选择另外两项技能熟练程度来获得此收益。
Feature/&BardClassJackOfAllTradesFeatureTitle	万事通
Feature/&BardClassJackOfAllTradesFeatureDescription	从第 2 级开始，你可以将你的熟练加值的一半（向下取整）加到你进行的任何不包括你的熟练加值的能力检定上。
Feature/&BardClassSongOfRestTitle	安息之歌
Feature/&BardClassSongOfRestDescription	从 2 级开始，你可以使用舒缓的音乐或演讲来帮助你受伤的盟友在短暂的休息期间恢复活力。如果你或任何可以听到你表演的友方生物在短暂休息结束时花费一个或多个生命骰来恢复生命值，那么这些生物中的每一个都会额外恢复 1d6 点生命值。\n当您达到本课程的某些级别时，额外的生命值会增加：9 级时为 1d8，13 级时为 1d10，17 级时为 1d12。
Feature/&BardClassMagicalSecretsTitle	神奇的秘密
